quantiles,con_u,mte,con_d
0.0006,0.6401,0.41643,0.19449
0.005782,0.63232,0.41186,0.19172
0.008209,0.62868,0.40974,0.19041
0.022251,0.60777,0.39785,0.18294
0.033393,0.59167,0.38897,0.17735
0.04163,0.58024,0.38215,0.17358
0.044883,0.57587,0.37927,0.17222
0.061974,0.55442,0.36239,0.16592
0.065558,0.55026,0.35897,0.16471
0.074053,0.54064,0.35156,0.16185
0.08819,0.52428,0.34039,0.15689
0.092513,0.51889,0.33707,0.15529
0.109426,0.49522,0.32384,0.14843
0.109835,0.49463,0.32351,0.14825
0.119131,0.48163,0.31586,0.14401
0.132467,0.46512,0.30492,0.13788
0.143823,0.45215,0.29607,0.13331
0.147701,0.44778,0.29308,0.132
0.154112,0.44049,0.28804,0.13006
0.176271,0.41393,0.26984,0.1239
0.176744,0.41333,0.26946,0.12376
0.178203,0.41145,0.26829,0.12329
0.19937,0.38492,0.25257,0.11506
0.20386,0.38008,0.24955,0.11314
0.211613,0.37257,0.24445,0.10986
0.221991,0.36327,0.23739,0.10574
0.236344,0.34965,0.22667,0.10071
0.244617,0.34048,0.22051,0.09824
0.245018,0.34001,0.22022,0.09813
0.266882,0.31411,0.20556,0.09276
0.267238,0.31372,0.20533,0.09267
0.27743,0.30373,0.19856,0.0898
0.289859,0.29286,0.19015,0.08549
0.294443,0.28875,0.18703,0.08376
0.31248,0.27099,0.17496,0.07687
0.313783,0.26963,0.17412,0.07639
0.325952,0.25662,0.16635,0.07213
0.336082,0.2455,0.15979,0.06869
0.347188,0.23388,0.15226,0.06466
0.355492,0.22618,0.14668,0.06132
0.358703,0.22347,0.14461,0.05997
0.380598,0.20707,0.13155,0.05123
0.381318,0.20654,0.13112,0.05098
0.388941,0.20085,0.12657,0.04848
0.403933,0.18869,0.11764,0.04371
0.414984,0.17968,0.11133,0.03951
0.420427,0.17551,0.10825,0.03699
0.42753,0.17047,0.10416,0.03328
0.44841,0.15703,0.09169,0.02098
0.450145,0.15594,0.09068,0.01995
0.453865,0.15359,0.08855,0.01777
0.473742,0.14066,0.0772,0.00668
0.481837,0.13551,0.07226,0.00246
0.485334,0.13335,0.07011,0.00068
0.496357,0.12695,0.06372,-0.00492
0.515264,0.11787,0.05439,-0.01607
0.518755,0.11653,0.05259,-0.01858
0.519948,0.11609,0.05194,-0.01947
0.542563,0.10948,0.03846,-0.03806
0.54675,0.10835,0.03619,-0.0414
0.553135,0.1065,0.03295,-0.04621
0.566154,0.1021,0.02668,-0.05534
0.580193,0.09697,0.01966,-0.06503
0.58654,0.09478,0.01648,-0.06964
0.589745,0.09373,0.01491,-0.07205
0.610692,0.0882,0.00457,-0.08867
0.613336,0.08766,0.00313,-0.09084
0.619933,0.08645,-0.00074,-0.09627
0.635951,0.08417,-0.01035,-0.10961
0.641197,0.0835,-0.01315,-0.11401
0.655278,0.08153,-0.02004,-0.12586
0.659542,0.08082,-0.02213,-0.12942
0.67367,0.07822,-0.02935,-0.14104
0.683133,0.07642,-0.03391,-0.14859
0.69161,0.07491,-0.03752,-0.15532
0.705157,0.07301,-0.04325,-0.16638
0.706719,0.07284,-0.04399,-0.1677
0.724986,0.07169,-0.05361,-0.18384
0.729329,0.07164,-0.05577,-0.18775
0.735667,0.07167,-0.05861,-0.19342
0.752914,0.07191,-0.06585,-0.20856
0.759333,0.07186,-0.06891,-0.21425
0.766177,0.07165,-0.07239,-0.22046
0.776505,0.07113,-0.07763,-0.23013
0.794667,0.07034,-0.08579,-0.24724
0.798662,0.07029,-0.08752,-0.25089
0.799109,0.07028,-0.08771,-0.25129
0.821713,0.07051,-0.09779,-0.27077
0.829995,0.07052,-0.10146,-0.27778
0.830153,0.07052,-0.10153,-0.27792
0.844318,0.07019,-0.10788,-0.29025
0.860664,0.07053,-0.11536,-0.30496
0.862379,0.07069,-0.11609,-0.30653
0.866922,0.07121,-0.11796,-0.31068
0.88952,0.07489,-0.12634,-0.33132
0.892161,0.07528,-0.12747,-0.33369
0.897691,0.07597,-0.13,-0.33861
0.912124,0.0769,-0.13643,-0.35133
0.922672,0.07725,-0.14015,-0.36073
0.933013,0.07785,-0.14374,-0.37019
0.935704,0.0781,-0.1448,-0.37267
0.954169,0.08097,-0.15354,-0.38947
0.957327,0.08157,-0.15489,-0.39225
0.965381,0.08311,-0.15773,-0.39922
0.97992,0.08562,-0.16158,-0.41158
0.983693,0.08622,-0.1625,-0.41481
0.997748,0.08837,-0.16649,-0.42749
